1 10 0.5625 0.5625 3.3 4 3 4 3 3 4 2 3 4 4 4 3 4 4 4 2 4 3
2 10 0.375 0.375 3.1 2 1 2 3 2 2 2 2 2 2 4 2 3 3 2 2 3 2
3 1 0.375 0.3125 3 3 2 4 4 3 4 2 3 3 4 5 4 4 4 4 2 3 3
4 1 0.375 0.3125 3.3 4 2 4 4 4 5 3 4 5 4 3 2 3 5 5 2 4 4
5 1 0.75 0.5625 3.6 3 1 3 2 4 2 2 2 3 3 2 1 3 2 2 4 4 3
6 10 0.875 0.5625 3.3 4 2 2 2 2 4 2 4 4 4 4 2 2 4 4 2 3 4
7 1 1.0625 0.625 3.2 5 2 2 4 2 4 4 5 5 3 4 3 2 5 5 3 4 4
8 1 0.875 0.625 3.4 4 4 5 4 4 4 3 4 4 4 4 4 4 5 4 2 4 3
9 1 0.875 0.625 3.2 4 3 4 5 2 2 2 4 2 2 2 4 4 4 1 2 4 2
10 10 0.5 0.4375 3.4 4 2 2 4 2 2 4 4 3 4 2 2 3 3 2 2 3 3
11 1 0.5 0.375 2.6 3 3 1 2 3 2 5 3 2 2 5 4 3 3 4 2 2 1
12 10 0.9375 0.75 4.4 2 2 4 4 2 4 2 4 4 4 4 4 4 4 5 4 4 4
13 10 0.4375 0.4375 3.2 4 4 4 2 4 4 2 4 4 4 4 4 4 4 4 2 2 4
14 10 0.6875 0.375 2.9 2 2 4 4 1 4 2 4 5 3 2 2 5 5 5 3 4 2
15 10 0.6875 0.5 3.2 4 2 3 3 3 3 2 4 4 3 3 2 2 3 3 2 3 3
16 1 0.8125 0.5 3.4 4 2 4 4 4 2 1 3 4 2 3 3 2 3 4 2 4 4
17 1 0.625 0.5 1.7 4 4 1 2 3 2 2 3 3 2 4 2 2 3 2 2 3 2
18 1 0.5625 0.5 2.6 3 4 4 3 2 2 3 3 3 2 5 2 3 4 3 2 3 2
19 1 0.375 0.3125 2.3 2 1 2 2 1 2 1 1 3 2 3 2 2 2 2 2 2 2
20 1 0.625 0.5625 3.3 2 2 3 3 2 4 3 2 3 3 4 3 2 3 2 2 3 3
